id	data	dia_semana	hora_inicio	hora_fim	data_fim	pilar	titulo_pt	titulo_es	titulo_en	descricao_pt	descricao_es	descricao_en	local_pt	local_es	local_en	palestrante	marca	logo_url	inscricao	link_inscricao	destaque
of-19-09	2026-09-19	sabado	15:00			oficial	Guarda-volume PTR 17	Guardarropa PTR 17	PTR 17 bag storage	Os itens retornam da Fazenda Bananal e ficam disponíveis para retirada em Paraty.	Los artículos vuelven de la Fazenda Bananal y quedan disponibles para retirar en Paraty.	Items return from Fazenda Bananal and can be collected in Paraty.	Arena e Expo	Arena y Expo	Arena and Expo		Paraty Brazil by UTMB		livre		
of-19-10	2026-09-19	sabado	15:00			oficial	Limite PTR 25	Limite PTR 25	PTR 25 cut-off				Arena de largada e chegada	Arena de salida y llegada	Start and finish arena		Paraty Brazil by UTMB		livre		
of-19-11	2026-09-19	sabado	16:00			oficial	Limite PTR 34	Limite PTR 34	PTR 34 cut-off				Arena de largada e chegada	Arena de salida y llegada	Start and finish arena		Paraty Brazil by UTMB		livre		
of-19-12	2026-09-19	sabado	18:30			oficial	Limite PTR 17	Limite PTR 17	PTR 17 cut-off				Arena de largada e chegada	Arena de salida y llegada	Start and finish arena		Paraty Brazil by UTMB		livre		
of-19-13	2026-09-19	sabado	21:00			oficial	Limite PTR 58	Limite PTR 58	PTR 58 cut-off				Arena de largada e chegada	Arena de salida y llegada	Start and finish arena		Paraty Brazil by UTMB		livre		
of-20-01	2026-09-20	domingo	01:00			oficial	Limite PTR 108	Limite PTR 108	PTR 108 cut-off				Arena de largada e chegada	Arena de salida y llegada	Start and finish arena		Paraty Brazil by UTMB		livre		
of-20-02	2026-09-20	domingo	07:00			oficial	Largada RUN 7	Salida RUN 7	RUN 7 start				Arena de largada e chegada	Arena de salida y llegada	Start and finish arena		Paraty Brazil by UTMB		livre		sim
of-20-03	2026-09-20	domingo	09:00			oficial	Kids	Kids	Kids				Arena de largada e chegada	Arena de salida y llegada	Start and finish arena		Paraty Brazil by UTMB		livre		sim
of-20-04	2026-09-20	domingo	10:00	13:00		oficial	UTMB Expo	UTMB Expo	UTMB Expo				Expo	Expo	Expo		Paraty Brazil by UTMB		livre		
of-20-05	2026-09-20	domingo	10:00	12:00		oficial	Drop bag e guarda-volume, retirada	Drop bag y guardarropa, retiro	Drop bag and bag storage, collection				Expo	Expo	Expo		Paraty Brazil by UTMB		livre		
of-20-06	2026-09-20	domingo	10:30			oficial	Premiação	Premiación	Awards ceremony				Expo	Expo	Expo		Paraty Brazil by UTMB		livre		sim
of-20-07	2026-09-20	domingo	12:00			oficial	Encerramento do evento	Cierre del evento	Event closing				Expo	Expo	Expo		Paraty Brazil by UTMB		livre		sim
at-mombora-treinao-1	2026-09-18	sexta-feira	08:30	10:00		ativacao	Treinão MOMBORA	Entrenamiento MOMBORA	MOMBORA group run	Treinão em conjunto com a COLUMBIA. Ponto de encontro a confirmar.	Entrenamiento en conjunto con COLUMBIA. Punto de encuentro por confirmar.	Group run together with COLUMBIA. Meeting point to be confirmed.	A confirmar	Por confirmar	To be confirmed		MOMBORA	https://app-utmb.github.io/utmb-paraty-agenda/logos/mombora.png	invite		sim
at-hoka-medalha-1	2026-09-19	sabado	14:00	20:00		ativacao	Gravação de medalhas	Grabado de medallas	Medal engraving	Personalize a sua medalha no estande da HOKA. Cadastro obrigatório, feito no estande pelo QR code.	Personaliza tu medalla en el stand de HOKA. Registro obligatorio, hecho en el stand por el código QR.	Personalise your medal at the HOKA booth. Registration required, done at the booth via QR code.	Estande HOKA, B1	Stand HOKA, B1	HOKA booth, B1		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	previa		sim
at-hoka-medalha-2	2026-09-20	domingo	10:00	14:00		ativacao	Gravação de medalhas	Grabado de medallas	Medal engraving	Personalize a sua medalha no estande da HOKA. Cadastro obrigatório, feito no estande pelo QR code.	Personaliza tu medalla en el stand de HOKA. Registro obligatorio, hecho en el stand por el código QR.	Personalise your medal at the HOKA booth. Registration required, done at the booth via QR code.	Estande HOKA, B1	Stand HOKA, B1	HOKA booth, B1		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	previa		sim
at-hoka-test-run-1	2026-09-17	quinta-feira	10:00	18:00		ativacao	HOKA Test Run	HOKA Test Run	HOKA Test Run	Teste um tênis HOKA por até 2h. Cadastro obrigatório, feito no estande pelo QR code.	Prueba un tenis HOKA por hasta 2h. Registro obligatorio, hecho en el stand por el código QR.	Try HOKA shoes for up to 2h. Registration required, done at the booth via QR code.	Estande HOKA, B1	Stand HOKA, B1	HOKA booth, B1		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	previa		sim
at-hoka-test-run-2	2026-09-18	sexta-feira	10:00	18:00		ativacao	HOKA Test Run	HOKA Test Run	HOKA Test Run	Teste um tênis HOKA por até 2h. Cadastro obrigatório, feito no estande pelo QR code.	Prueba un tenis HOKA por hasta 2h. Registro obligatorio, hecho en el stand por el código QR.	Try HOKA shoes for up to 2h. Registration required, done at the booth via QR code.	Estande HOKA, B1	Stand HOKA, B1	HOKA booth, B1		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	previa		sim
at-hoka-test-run-3	2026-09-19	sabado	10:00	18:00		ativacao	HOKA Test Run	HOKA Test Run	HOKA Test Run	Teste um tênis HOKA por até 2h. Cadastro obrigatório, feito no estande pelo QR code.	Prueba un tenis HOKA por hasta 2h. Registro obligatorio, hecho en el stand por el código QR.	Try HOKA shoes for up to 2h. Registration required, done at the booth via QR code.	Estande HOKA, B1	Stand HOKA, B1	HOKA booth, B1		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	previa		sim
at-hoka-apitos-1	2026-09-17	quinta-feira	10:00	20:00		ativacao	Apitos HOKA	Silbatos HOKA	HOKA whistles	Passe no estande da HOKA na Expo e confira as regras para ganhar o seu.	Pasa por el stand de HOKA en la Expo y mira las reglas para ganar el tuyo.	Stop by the HOKA booth at the Expo and check the rules to get yours.	Estande HOKA, B1	Stand HOKA, B1	HOKA booth, B1		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	livre		
at-hoka-apitos-2	2026-09-18	sexta-feira	10:00	21:00		ativacao	Apitos HOKA	Silbatos HOKA	HOKA whistles	Passe no estande da HOKA na Expo e confira as regras para ganhar o seu.	Pasa por el stand de HOKA en la Expo y mira las reglas para ganar el tuyo.	Stop by the HOKA booth at the Expo and check the rules to get yours.	Estande HOKA, B1	Stand HOKA, B1	HOKA booth, B1		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	livre		
at-hoka-apitos-3	2026-09-19	sabado	10:00	18:00		ativacao	Apitos HOKA	Silbatos HOKA	HOKA whistles	Passe no estande da HOKA na Expo e confira as regras para ganhar o seu.	Pasa por el stand de HOKA en la Expo y mira las reglas para ganar el tuyo.	Stop by the HOKA booth at the Expo and check the rules to get yours.	Estande HOKA, B1	Stand HOKA, B1	HOKA booth, B1		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	livre		
at-hoka-apitos-4	2026-09-20	domingo	10:00	13:00		ativacao	Apitos HOKA	Silbatos HOKA	HOKA whistles	Passe no estande da HOKA na Expo e confira as regras para ganhar o seu.	Pasa por el stand de HOKA en la Expo y mira las reglas para ganar el tuyo.	Stop by the HOKA booth at the Expo and check the rules to get yours.	Estande HOKA, B1	Stand HOKA, B1	HOKA booth, B1		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	livre		
at-hoka-batecos-1	2026-09-19	sabado	10:00	21:00		ativacao	Batecos e cartazes HOKA	Batecos y carteles HOKA	HOKA clappers and signs	Procure a equipe da HOKA nas chegadas para fazer barulho e deixar a sua mensagem.	Busca al equipo de HOKA en las llegadas para hacer ruido y dejar tu mensaje.	Find the HOKA team at the finish to cheer and leave your message.	Arena de largada e chegada	Arena de salida y llegada	Start and finish arena		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	livre		
at-hoka-batecos-2	2026-09-20	domingo	10:00	13:00		ativacao	Batecos e cartazes HOKA	Batecos y carteles HOKA	HOKA clappers and signs	Procure a equipe da HOKA nas chegadas para fazer barulho e deixar a sua mensagem.	Busca al equipo de HOKA en las llegadas para hacer ruido y dejar tu mensaje.	Find the HOKA team at the finish to cheer and leave your message.	Arena de largada e chegada	Arena de salida y llegada	Start and finish arena		HOKA	https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png	livre		
at-nnormal-tenis-1	2026-09-17	quinta-feira	10:00	20:00		ativacao	Experimentação de tênis	Prueba de zapatillas	Shoe try-on	Experimente os modelos NNormal no estande. Inscrição pelo formulário da marca.	Prueba los modelos NNormal en el stand. Inscripción por el formulario de la marca.	Try the NNormal models at the booth. Sign up through the brand form.	Estande NNormal, D9	Stand NNormal, D9	NNormal booth, D9		NNormal	https://app-utmb.github.io/utmb-paraty-agenda/logos/nnormal.png	previa	https://forms.gle/LbXWJoMqmAEo1RqeA	
at-nnormal-tenis-2	2026-09-18	sexta-feira	10:00	21:00		ativacao	Experimentação de tênis	Prueba de zapatillas	Shoe try-on	Experimente os modelos NNormal no estande. Inscrição pelo formulário da marca.	Prueba los modelos NNormal en el stand. Inscripción por el formulario de la marca.	Try the NNormal models at the booth. Sign up through the brand form.	Estande NNormal, D9	Stand NNormal, D9	NNormal booth, D9		NNormal	https://app-utmb.github.io/utmb-paraty-agenda/logos/nnormal.png	previa	https://forms.gle/LbXWJoMqmAEo1RqeA	
at-nnormal-tenis-3	2026-09-19	sabado	10:00	18:00		ativacao	Experimentação de tênis	Prueba de zapatillas	Shoe try-on	Experimente os modelos NNormal no estande. Inscrição pelo formulário da marca.	Prueba los modelos NNormal en el stand. Inscripción por el formulario de la marca.	Try the NNormal models at the booth. Sign up through the brand form.	Estande NNormal, D9	Stand NNormal, D9	NNormal booth, D9		NNormal	https://app-utmb.github.io/utmb-paraty-agenda/logos/nnormal.png	previa	https://forms.gle/LbXWJoMqmAEo1RqeA	
at-coros-cacada-1	2026-09-17	quinta-feira	10:00	20:00		ativacao	Caça ao tesouro COROS	Búsqueda del tesoro COROS	COROS treasure hunt	Vagas limitadas, inscrição no estande.	Cupos limitados, inscripción en el stand.	Limited places, sign up at the booth.	Estande COROS, D9	Stand COROS, D9	COROS booth, D9		COROS	https://app-utmb.github.io/utmb-paraty-agenda/logos/coros.png	previa		
at-coros-cacada-2	2026-09-18	sexta-feira	10:00	21:00		ativacao	Caça ao tesouro COROS	Búsqueda del tesoro COROS	COROS treasure hunt	Vagas limitadas, inscrição no estande.	Cupos limitados, inscripción en el stand.	Limited places, sign up at the booth.	Estande COROS, D9	Stand COROS, D9	COROS booth, D9		COROS	https://app-utmb.github.io/utmb-paraty-agenda/logos/coros.png	previa		
at-coros-cacada-3	2026-09-19	sabado	10:00	18:00		ativacao	Caça ao tesouro COROS	Búsqueda del tesoro COROS	COROS treasure hunt	Vagas limitadas, inscrição no estande.	Cupos limitados, inscripción en el stand.	Limited places, sign up at the booth.	Estande COROS, D9	Stand COROS, D9	COROS booth, D9		COROS	https://app-utmb.github.io/utmb-paraty-agenda/logos/coros.png	previa		
at-vivas-roleta-1	2026-09-17	quinta-feira	14:00	18:00		ativacao	Roleta de descontos	Ruleta de descuentos	Discount wheel	Gire a roleta e leve o desconto que sair.	Gira la ruleta y llévate el descuento.	Spin the wheel and take the discount.	Estande VIVÁS MOVE, D8	Stand VIVÁS MOVE, D8	VIVÁS MOVE booth, D8		VIVÁS MOVE	https://app-utmb.github.io/utmb-paraty-agenda/logos/vivas-move.png	livre		
at-vivas-roleta-2	2026-09-18	sexta-feira	14:00	18:00		ativacao	Roleta de descontos	Ruleta de descuentos	Discount wheel	Gire a roleta e leve o desconto que sair.	Gira la ruleta y llévate el descuento.	Spin the wheel and take the discount.	Estande VIVÁS MOVE, D8	Stand VIVÁS MOVE, D8	VIVÁS MOVE booth, D8		VIVÁS MOVE	https://app-utmb.github.io/utmb-paraty-agenda/logos/vivas-move.png	livre		
at-drpeanut-degustacao-1	2026-09-17	quinta-feira	10:00	20:00		ativacao	Degustação DR PEANUT	Degustación DR PEANUT	DR PEANUT tasting	Proteína, pasta de amendoim e barra proteica na airfryer.	Proteína, pasta de maní y barra proteica en la airfryer.	Protein, peanut butter and protein bar from the airfryer.	Estande DR PEANUT, D4	Stand DR PEANUT, D4	DR PEANUT booth, D4		DR PEANUT	https://app-utmb.github.io/utmb-paraty-agenda/logos/dr-peanut.png	livre		
at-drpeanut-degustacao-2	2026-09-18	sexta-feira	10:00	21:00		ativacao	Degustação DR PEANUT	Degustación DR PEANUT	DR PEANUT tasting	Proteína, pasta de amendoim e barra proteica na airfryer.	Proteína, pasta de maní y barra proteica en la airfryer.	Protein, peanut butter and protein bar from the airfryer.	Estande DR PEANUT, D4	Stand DR PEANUT, D4	DR PEANUT booth, D4		DR PEANUT	https://app-utmb.github.io/utmb-paraty-agenda/logos/dr-peanut.png	livre		
at-drpeanut-degustacao-3	2026-09-19	sabado	10:00	18:00		ativacao	Degustação DR PEANUT	Degustación DR PEANUT	DR PEANUT tasting	Proteína, pasta de amendoim e barra proteica na airfryer.	Proteína, pasta de maní y barra proteica en la airfryer.	Protein, peanut butter and protein bar from the airfryer.	Estande DR PEANUT, D4	Stand DR PEANUT, D4	DR PEANUT booth, D4		DR PEANUT	https://app-utmb.github.io/utmb-paraty-agenda/logos/dr-peanut.png	livre		
at-drpeanut-degustacao-4	2026-09-20	domingo	10:00	13:00		ativacao	Degustação DR PEANUT	Degustación DR PEANUT	DR PEANUT tasting	Proteína, pasta de amendoim e barra proteica na airfryer.	Proteína, pasta de maní y barra proteica en la airfryer.	Protein, peanut butter and protein bar from the airfryer.	Estande DR PEANUT, D4	Stand DR PEANUT, D4	DR PEANUT booth, D4		DR PEANUT	https://app-utmb.github.io/utmb-paraty-agenda/logos/dr-peanut.png	livre		
at-mombora-degustacao-1	2026-09-17	quinta-feira	10:00	20:00		ativacao	Degustação da linha completa	Degustación de la línea completa	Full range tasting	Prove a linha completa, com canapé de Ultrabutter e pipoca com caramelo salgado.	Prueba la línea completa, con canapé de Ultrabutter y palomitas con caramelo salado.	Taste the full range, with Ultrabutter canapés and salted caramel popcorn.	Estande MOMBORA, F8	Stand MOMBORA, F8	MOMBORA booth, F8		MOMBORA	https://app-utmb.github.io/utmb-paraty-agenda/logos/mombora.png	livre		
at-mombora-degustacao-2	2026-09-18	sexta-feira	10:00	21:00		ativacao	Degustação da linha completa	Degustación de la línea completa	Full range tasting	Prove a linha completa, com canapé de Ultrabutter e pipoca com caramelo salgado.	Prueba la línea completa, con canapé de Ultrabutter y palomitas con caramelo salado.	Taste the full range, with Ultrabutter canapés and salted caramel popcorn.	Estande MOMBORA, F8	Stand MOMBORA, F8	MOMBORA booth, F8		MOMBORA	https://app-utmb.github.io/utmb-paraty-agenda/logos/mombora.png	livre		
at-mombora-degustacao-3	2026-09-19	sabado	10:00	18:00		ativacao	Degustação da linha completa	Degustación de la línea completa	Full range tasting	Prove a linha completa, com canapé de Ultrabutter e pipoca com caramelo salgado.	Prueba la línea completa, con canapé de Ultrabutter y palomitas con caramelo salado.	Taste the full range, with Ultrabutter canapés and salted caramel popcorn.	Estande MOMBORA, F8	Stand MOMBORA, F8	MOMBORA booth, F8		MOMBORA	https://app-utmb.github.io/utmb-paraty-agenda/logos/mombora.png	livre		
at-mombora-degustacao-4	2026-09-20	domingo	10:00	13:00		ativacao	Degustação da linha completa	Degustación de la línea completa	Full range tasting	Prove a linha completa, com canapé de Ultrabutter e pipoca com caramelo salgado.	Prueba la línea completa, con canapé de Ultrabutter y palomitas con caramelo salado.	Taste the full range, with Ultrabutter canapés and salted caramel popcorn.	Estande MOMBORA, F8	Stand MOMBORA, F8	MOMBORA booth, F8		MOMBORA	https://app-utmb.github.io/utmb-paraty-agenda/logos/mombora.png	livre		
at-mombora-compre-ganhe-1	2026-09-17	quinta-feira	10:00	20:00		ativacao	Compre e ganhe	Compra y gana	Buy and get	Na compra, ganhe flasks, bonés e mochila. Desconto progressivo no estande.	Con tu compra, gana flasks, gorras y mochila. Descuento progresivo en el stand.	Buy and get flasks, caps and a backpack. Progressive discount at the booth.	Estande MOMBORA, F8	Stand MOMBORA, F8	MOMBORA booth, F8		MOMBORA	https://app-utmb.github.io/utmb-paraty-agenda/logos/mombora.png	livre		
at-mombora-compre-ganhe-2	2026-09-18	sexta-feira	10:00	21:00		ativacao	Compre e ganhe	Compra y gana	Buy and get	Na compra, ganhe flasks, bonés e mochila. Desconto progressivo no estande.	Con tu compra, gana flasks, gorras y mochila. Descuento progresivo en el stand.	Buy and get flasks, caps and a backpack. Progressive discount at the booth.	Estande MOMBORA, F8	Stand MOMBORA, F8	MOMBORA booth, F8		MOMBORA	https://app-utmb.github.io/utmb-paraty-agenda/logos/mombora.png	livre		
at-mombora-compre-ganhe-3	2026-09-19	sabado	10:00	18:00		ativacao	Compre e ganhe	Compra y gana	Buy and get	Na compra, ganhe flasks, bonés e mochila. Desconto progressivo no estande.	Con tu compra, gana flasks, gorras y mochila. Descuento progresivo en el stand.	Buy and get flasks, caps and a backpack. Progressive discount at the booth.	Estande MOMBORA, F8	Stand MOMBORA, F8	MOMBORA booth, F8		MOMBORA	https://app-utmb.github.io/utmb-paraty-agenda/logos/mombora.png	livre		
at-mombora-compre-ganhe-4	2026-09-20	domingo	10:00	13:00		ativacao	Compre e ganhe	Compra y gana	Buy and get	Na compra, ganhe flasks, bonés e mochila. Desconto progressivo no estande.	Con tu compra, gana flasks, gorras y mochila. Descuento progresivo en el stand.	Buy and get flasks, caps and a backpack. Progressive discount at the booth.	Estande MOMBORA, F8	Stand MOMBORA, F8	MOMBORA booth, F8		MOMBORA	https://app-utmb.github.io/utmb-paraty-agenda/logos/mombora.png	livre		
at-strava-veja-brunch-1	2026-09-18	sexta-feira	07:30			ativacao	Brunch e Shake Out Strava + VEJA	Brunch y Shake Out Strava + VEJA	Strava + VEJA brunch and shake out	Corrida leve seguida de brunch. Apenas para convidados, local revelado a quem recebeu o convite.	Trote suave seguido de brunch. Solo para invitados, el lugar se revela a quien recibió la invitación.	Easy shake out run followed by brunch. Invite only, the venue is shared with guests.	Local secreto	Lugar secreto	Secret location		Strava; VEJA	https://app-utmb.github.io/utmb-paraty-agenda/logos/strava.png	invite		
at-yopp-oculos-1	2026-09-17	quinta-feira	10:00	20:00		ativacao	Óculos oficiais Yopp & UTMB	Gafas oficiales Yopp & UTMB	Official Yopp & UTMB eyewear	Venda dos modelos licenciados oficiais exclusivos Yopp & UTMB: um modelo hexagonal e outro Performance fotocromático.	Venta de los modelos licenciados oficiales exclusivos Yopp & UTMB: uno hexagonal y otro Performance fotocromático.	Sale of the exclusive official licensed Yopp & UTMB models: a hexagonal frame and a photochromic Performance model.	Estande Yopp, F2	Stand Yopp, F2	Yopp booth, F2		Yopp	https://app-utmb.github.io/utmb-paraty-agenda/logos/yopp.png	livre		
at-yopp-oculos-2	2026-09-18	sexta-feira	10:00	21:00		ativacao	Óculos oficiais Yopp & UTMB	Gafas oficiales Yopp & UTMB	Official Yopp & UTMB eyewear	Venda dos modelos licenciados oficiais exclusivos Yopp & UTMB: um modelo hexagonal e outro Performance fotocromático.	Venta de los modelos licenciados oficiales exclusivos Yopp & UTMB: uno hexagonal y otro Performance fotocromático.	Sale of the exclusive official licensed Yopp & UTMB models: a hexagonal frame and a photochromic Performance model.	Estande Yopp, F2	Stand Yopp, F2	Yopp booth, F2		Yopp	https://app-utmb.github.io/utmb-paraty-agenda/logos/yopp.png	livre		
at-yopp-oculos-3	2026-09-19	sabado	10:00	18:00		ativacao	Óculos oficiais Yopp & UTMB	Gafas oficiales Yopp & UTMB	Official Yopp & UTMB eyewear	Venda dos modelos licenciados oficiais exclusivos Yopp & UTMB: um modelo hexagonal e outro Performance fotocromático.	Venta de los modelos licenciados oficiales exclusivos Yopp & UTMB: uno hexagonal y otro Performance fotocromático.	Sale of the exclusive official licensed Yopp & UTMB models: a hexagonal frame and a photochromic Performance model.	Estande Yopp, F2	Stand Yopp, F2	Yopp booth, F2		Yopp	https://app-utmb.github.io/utmb-paraty-agenda/logos/yopp.png	livre		
at-yopp-oculos-4	2026-09-20	domingo	10:00	13:00		ativacao	Óculos oficiais Yopp & UTMB	Gafas oficiales Yopp & UTMB	Official Yopp & UTMB eyewear	Venda dos modelos licenciados oficiais exclusivos Yopp & UTMB: um modelo hexagonal e outro Performance fotocromático.	Venta de los modelos licenciados oficiales exclusivos Yopp & UTMB: uno hexagonal y otro Performance fotocromático.	Sale of the exclusive official licensed Yopp & UTMB models: a hexagonal frame and a photochromic Performance model.	Estande Yopp, F2	Stand Yopp, F2	Yopp booth, F2		Yopp	https://app-utmb.github.io/utmb-paraty-agenda/logos/yopp.png	livre		
at-gu-shake-out-1	2026-09-18	sexta-feira	08:00			ativacao	Shake Out GU	Shake Out GU	GU shake out	Corrida leve de soltura com os géis GU. Apenas para convidados.	Trote suave de soltura con los geles GU. Solo para invitados.	Easy shake out run with GU gels. Invite only.	A confirmar	Por confirmar	To be confirmed		GU		invite		
at-garmin-gpx-1	2026-09-17	quinta-feira	15:00			ativacao	Baixe e configure seu GPX	Descarga y configura tu GPX	Download and set up your GPX	Leve o relógio ao estande da Garmin e saia com o percurso da sua prova configurado.	Lleva tu reloj al stand de Garmin y sal con el recorrido de tu carrera configurado.	Bring your watch to the Garmin booth and leave with your race course set up.	Estande Garmin, C4	Stand Garmin, C4	Garmin booth, C4		Garmin	https://app-utmb.github.io/utmb-paraty-agenda/logos/garmin.png	livre		
at-garmin-gpx-2	2026-09-18	sexta-feira	11:00			ativacao	Baixe e configure seu GPX	Descarga y configura tu GPX	Download and set up your GPX	Leve o relógio ao estande da Garmin e saia com o percurso da sua prova configurado.	Lleva tu reloj al stand de Garmin y sal con el recorrido de tu carrera configurado.	Bring your watch to the Garmin booth and leave with your race course set up.	Estande Garmin, C4	Stand Garmin, C4	Garmin booth, C4		Garmin	https://app-utmb.github.io/utmb-paraty-agenda/logos/garmin.png	livre		
at-garmin-gpx-3	2026-09-19	sabado	11:00			ativacao	Baixe e configure seu GPX	Descarga y configura tu GPX	Download and set up your GPX	Leve o relógio ao estande da Garmin e saia com o percurso da sua prova configurado.	Lleva tu reloj al stand de Garmin y sal con el recorrido de tu carrera configurado.	Bring your watch to the Garmin booth and leave with your race course set up.	Estande Garmin, C4	Stand Garmin, C4	Garmin booth, C4		Garmin	https://app-utmb.github.io/utmb-paraty-agenda/logos/garmin.png	livre		
